Árvore gerada por busca
Vértice: 264, Pai: 8404, Distância: 2.62
Vértice: 265, Pai: 2063, Distância: 1.74
Vértice: 266, Pai: 660, Distância: 1.49
Vértice: 267, Pai: 7675, Distância: 2.17
Vértice: 268, Pai: 5317, Distância: 2.56
Vértice: 269, Pai: 5616, Distância: 2.22
Vértice: 270, Pai: 4897, Distância: 1.91
Vértice: 271, Pai: 8881, Distância: 2.05
Vértice: 272, Pai: 4455, Distância: 1.82
Vértice: 273, Pai: 3639, Distância: 2.74
Vértice: 274, Pai: 7684, Distância: 2.8
Vértice: 275, Pai: 338, Distância: 1.83
Vértice: 276, Pai: 3624, Distância: 2.17
Vértice: 277, Pai: 9869, Distância: 2.87
Vértice: 278, Pai: 8955, Distância: 2.41
Vértice: 279, Pai: 2430, Distância: 2.4
Vértice: 280, Pai: 8604, Distância: 2.01
Vértice: 281, Pai: 7154, Distância: 2.03
Vértice: 282, Pai: 8352, Distância: 1.32
Vértice: 283, Pai: 663, Distância: 2.55
Vértice: 284, Pai: 8228, Distância: 1.71
Vértice: 285, Pai: 8387, Distância: 2.39
Vértice: 286, Pai: 2743, Distância: 2.16
Vértice: 287, Pai: 5814, Distância: 1.69
Vértice: 288, Pai: 3104, Distância: 2.48
Vértice: 289, Pai: 3576, Distância: 2.51
Vértice: 290, Pai: 3152, Distância: 2.43
Vértice: 291, Pai: 8779, Distância: 1.96
Vértice: 292, Pai: 8972, Distância: 2.18
Vértice: 293, Pai: 6756, Distância: 2.34
Vértice: 294, Pai: 3933, Distância: 2.24
Vértice: 295, Pai: 6635, Distância: 2.74
Vértice: 296, Pai: 3952, Distância: 2.03
Vértice: 297, Pai: 2929, Distância: 2.81
Vértice: 298, Pai: 9423, Distância: 2.26
Vértice: 299, Pai: 5528, Distância: 2.53
Vértice: 300, Pai: 7146, Distância: 2.62
Vértice: 301, Pai: 5205, Distância: 2.18
Vértice: 302, Pai: 4952, Distância: 2.47
Vértice: 303, Pai: 1980, Distância: 2.46
Vértice: 304, Pai: 1277, Distância: 2.34
Vértice: 305, Pai: 9293, Distância: 1.52
Vértice: 306, Pai: 7378, Distância: 1.13
Vértice: 307, Pai: 4125, Distância: 2.29
Vértice: 308, Pai: 8106, Distância: 2.07
Vértice: 309, Pai: 9409, Distância: 2.14
Vértice: 310, Pai: 8474, Distância: 2.41
Vértice: 311, Pai: 9562, Distância: 2.73
Vértice: 312, Pai: 5600, Distância: 3.13
Vértice: 313, Pai: 5851, Distância: 1.91
Vértice: 314, Pai: 8943, Distância: 1.53
Vértice: 315, Pai: 7964, Distância: 1.63
Vértice: 316, Pai: 1341, Distância: 1.77
Vértice: 317, Pai: 6792, Distância: 2.41
Vértice: 318, Pai: 5621, Distância: 1.67
Vértice: 319, Pai: 9855, Distância: 2.48
Vértice: 320, Pai: 8128, Distância: 1.61
Vértice: 321, Pai: 1723, Distância: 2.68
Vértice: 322, Pai: 4534, Distância: 2.81
Vértice: 323, Pai: 3963, Distância: 2.28
Vértice: 324, Pai: 3486, Distância: 2.61
Vértice: 325, Pai: 2439, Distância: 2.17
Vértice: 326, Pai: 8196, Distância: 2.74
Vértice: 327, Pai: 6154, Distância: 2.58
Vértice: 328, Pai: 978, Distância: 1.92
Vértice: 329, Pai: 6980, Distância: 1.95
Vértice: 330, Pai: 7674, Distância: 2.38
Vértice: 331, Pai: 1813, Distância: 2.42
Vértice: 332, Pai: 3969, Distância: 1.98
Vértice: 333, Pai: 9335, Distância: 2.43
Vértice: 334, Pai: 3406, Distância: 1.95
Vértice: 335, Pai: 8437, Distância: 1.89
Vértice: 336, Pai: 8149, Distância: 3.07
Vértice: 337, Pai: 2528, Distância: 2.6
Vértice: 338, Pai: 4843, Distância: 1.8
Vértice: 339, Pai: 656, Distância: 2.15
Vértice: 340, Pai: 1760, Distância: 2.22
Vértice: 341, Pai: 42, Distância: 1.85
Vértice: 342, Pai: 1350, Distância: 2.2
Vértice: 343, Pai: 4975, Distância: 2.32
Vértice: 344, Pai: 3061, Distância: 2.95
Vértice: 345, Pai: 1191, Distância: 2.64
Vértice: 346, Pai: 6344, Distância: 1.86
Vértice: 347, Pai: 594, Distância: 1.88
Vértice: 348, Pai: 8713, Distância: 1.88
Vértice: 349, Pai: 9436, Distância: 2.63
Vértice: 350, Pai: 8779, Distância: 1.96
Vértice: 351, Pai: 6295, Distância: 1.9
Vértice: 352, Pai: 5517, Distância: 2.61
Vértice: 353, Pai: 3004, Distância: 1.64
Vértice: 354, Pai: 5935, Distância: 2.06
Vértice: 355, Pai: 120, Distância: 1.54
Vértice: 356, Pai: 7244, Distância: 2.12
Vértice: 357, Pai: 6437, Distância: 2.71
Vértice: 358, Pai: 4829, Distância: 2.72
Vértice: 359, Pai: 6364, Distância: 2.14
Vértice: 360, Pai: 6182, Distância: 1.69
Vértice: 361, Pai: 2561, Distância: 2.5
Vértice: 362, Pai: 2621, Distância: 1.47
Vértice: 363, Pai: 3818, Distância: 1.91
Vértice: 364, Pai: 4548, Distância: 2.63
Vértice: 365, Pai: 3483, Distância: 2.14
Vértice: 366, Pai: 9082, Distância: 2.18
Vértice: 367, Pai: 4876, Distância: 2.35
Vértice: 368, Pai: 7303, Distância: 2.74
Vértice: 369, Pai: 4736, Distância: 1.74
Vértice: 370, Pai: 4253, Distância: 2.55
Vértice: 371, Pai: 3838, Distância: 2.96
Vértice: 372, Pai: 9793, Distância: 1.59
Vértice: 373, Pai: 4120, Distância: 2.72
Vértice: 374, Pai: 6193, Distância: 2.08
Vértice: 375, Pai: 4723, Distância: 1.96
